MEDS_ID,STATION_NAME
44131,Gannet Rock
44137,East Scotian Slope
44138,SW Grand Banks
44139,Banquereau Bank
44140,Tail of the Bank
44141,Laurentian Fan
44142,La Have Bank
44143,E Virgin Rocks
44150,La Have Bank
44153,Hibernia SWS-2
44161,Cap de Caissie
44172,Halifax (CDIP176)
44174,Anticosti
44175,Iles de la Madeleine
44176,Point Escuminac
44235,S Ramea Is (CDIP170)
44251,Nickerson Bank
44255,NE Burgeo Bank
44258,Halifax Harbour
44298,Nickerson CoLo Test
44299,Halifax DISCUS TriAx
45132,Port Stanley
45135,Prince Edward Point
45136,Slate Island
45137,Georgian Bay
45138,Mont Louis
45139,West Lake Ontario
45140,Lake Winnipeg South
45141,Great Slave Lake
45142,Port Colborne
45143,South Georgian Bay
45144,Lake Winnipeg North
45145,Lake Winnipeg North
45147,Lake St. Clair
45148,Lake of the Woods
45149,Southern Lake Huron
45150,Gt. Slave Lk N.
45151,Lake Simcoe
45152,Lake Nipissing
45153,WaveTest Watchkeeper
45154,North Channel E
45158,Hudson Bay SW
45159,NW Lake Ontario
45160,16 Mile Creek
46004,Middle Nomad
46036,South Nomad
46131,Sentry Shoal
46132,South Brooks
46134,Pat Bay Test Buoy
46138,S Hecate (CDIP174)
46139,La Perouse (CDIP195)
46145,Central Dixon Entran
46146,Halibut Bank
46147,South Moresby
46181,Nanakwa Shoal
46182,Pam Rocks
46183,North Hecate Strait
46184,North Nomad
46185,South Hecate Strait
46204,West Sea Otter
46205,West Dixon Entrance
46206,La Perouse Bank
46207,East Dellwood
46208,West Moresby
48021,Tuktoyaktuk